method,rule,qset,fit,n_train_rungs,model,n_docs,pred,obs,rmse_nats,rmse_log,params
bm25,top40,in-dist,extrapolate,3,offset-huber,256000,4.590973530238061,0.1047358194986979,10.172080699655227,2.9630324571640734,
bm25,top40,in-dist,extrapolate,3,offset-huber,512000,22.456543978414537,0.1728190104166667,10.172080699655227,2.9630324571640734,
bm25,top40,in-dist,extrapolate,3,sat-huber,32000,0.01722258148936487,0.014022982597351066,0.09165273565506796,1.3833766169056594,
bm25,top40,in-dist,extrapolate,3,sat-huber,64000,0.020772711800088467,0.08020505452156065,0.09165273565506796,1.3833766169056594,
bm25,top40,in-dist,extrapolate,3,sat-huber,128000,0.024235598813109466,0.13546563784281415,0.09165273565506796,1.3833766169056594,
bm25,top40,in-dist,extrapolate,3,sat-huber,256000,0.027613386504092896,0.1047358194986979,0.09165273565506796,1.3833766169056594,
bm25,top40,in-dist,extrapolate,3,sat-huber,512000,0.030908166161199208,0.1728190104166667,0.09165273565506796,1.3833766169056594,
bm25,top40,in-dist,extrapolate,4,loglin,64000,0.02120604034107237,0.08020505452156065,0.10383753017489691,1.5864357924540984,
bm25,top40,in-dist,extrapolate,4,loglin,128000,0.023547720752254832,0.13546563784281415,0.10383753017489691,1.5864357924540984,
bm25,top40,in-dist,extrapolate,4,loglin,256000,0.025889401163437294,0.1047358194986979,0.10383753017489691,1.5864357924540984,
bm25,top40,in-dist,extrapolate,4,loglin,512000,0.02823108157461975,0.1728190104166667,0.10383753017489691,1.5864357924540984,
bm25,top40,in-dist,extrapolate,4,kaplan-ols,64000,0.014482899628053676,0.08020505452156065,0.10951736215521839,1.8750817726931739,
bm25,top40,in-dist,extrapolate,4,kaplan-ols,128000,0.016938077620805486,0.13546563784281415,0.10951736215521839,1.8750817726931739,
bm25,top40,in-dist,extrapolate,4,kaplan-ols,256000,0.01980946363342208,0.1047358194986979,0.10951736215521839,1.8750817726931739,
bm25,top40,in-dist,extrapolate,4,kaplan-ols,512000,0.023167614308359202,0.1728190104166667,0.10951736215521839,1.8750817726931739,
bm25,top40,in-dist,extrapolate,4,kaplan-huber,64000,0.015741258526638397,0.08020505452156065,0.10579465959407743,1.715560062496606,
bm25,top40,in-dist,extrapolate,4,kaplan-huber,128000,0.019368850263805214,0.13546563784281415,0.10579465959407743,1.715560062496606,
bm25,top40,in-dist,extrapolate,4,kaplan-huber,256000,0.02383242482847542,0.1047358194986979,0.10579465959407743,1.715560062496606,
bm25,top40,in-dist,extrapolate,4,kaplan-huber,512000,0.029324635456877395,0.1728190104166667,0.10579465959407743,1.715560062496606,
bm25,top40,in-dist,extrapolate,4,kaplan-smear,64000,0.02562748012974627,0.08020505452156065,0.09188638011110428,1.2316153636204326,
bm25,top40,in-dist,extrapolate,4,kaplan-smear,128000,0.03153336338588815,0.13546563784281415,0.09188638011110428,1.2316153636204326,
bm25,top40,in-dist,extrapolate,4,kaplan-smear,256000,0.038800264458006876,0.1047358194986979,0.09188638011110428,1.2316153636204326,
bm25,top40,in-dist,extrapolate,4,kaplan-smear,512000,0.0477418315194692,0.1728190104166667,0.09188638011110428,1.2316153636204326,
bm25,top40,in-dist,extrapolate,4,offset-huber,64000,0.016974365019859022,0.08020505452156065,0.10313555727235675,1.6126003712106192,
bm25,top40,in-dist,extrapolate,4,offset-huber,128000,0.021283593550855445,0.13546563784281415,0.10313555727235675,1.6126003712106192,
bm25,top40,in-dist,extrapolate,4,offset-huber,256000,0.026686793802333988,0.1047358194986979,0.10313555727235675,1.6126003712106192,
bm25,top40,in-dist,extrapolate,4,offset-huber,512000,0.03346168929640683,0.1728190104166667,0.10313555727235675,1.6126003712106192,
bm25,top40,in-dist,extrapolate,4,sat-huber,64000,0.015412487272875308,0.08020505452156065,0.10955447748646267,1.8623252839930973,
bm25,top40,in-dist,extrapolate,4,sat-huber,128000,0.017659944248281656,0.13546563784281415,0.10955447748646267,1.8623252839930973,
bm25,top40,in-dist,extrapolate,4,sat-huber,256000,0.019872867634812608,0.1047358194986979,0.10955447748646267,1.8623252839930973,
bm25,top40,in-dist,extrapolate,4,sat-huber,512000,0.022051788062764366,0.1728190104166667,0.10955447748646267,1.8623252839930973,
bm25,top40,in-dist,extrapolate,5,loglin,128000,0.07074693209664557,0.13546563784281415,0.05781367585941466,0.5086541248840193,
bm25,top40,in-dist,extrapolate,5,loglin,256000,0.08488841534392566,0.1047358194986979,0.05781367585941466,0.5086541248840193,
bm25,top40,in-dist,extrapolate,5,loglin,512000,0.09902989859120581,0.1728190104166667,0.05781367585941466,0.5086541248840193,
bm25,top40,in-dist,extrapolate,5,kaplan-ols,128000,0.06503527175770309,0.13546563784281415,0.0406959272744473,0.42383913359557074,
bm25,top40,in-dist,extrapolate,5,kaplan-ols,256000,0.10665417250074646,0.1047358194986979,0.0406959272744473,0.42383913359557074,
bm25,top40,in-dist,extrapolate,5,kaplan-ols,512000,0.1749068190903909,0.1728190104166667,0.0406959272744473,0.42383913359557074,
bm25,top40,in-dist,extrapolate,5,kaplan-huber,128000,0.08904558883607998,0.13546563784281415,0.07504149619184843,0.4419334295157414,
bm25,top40,in-dist,extrapolate,5,kaplan-huber,256000,0.15838667645192359,0.1047358194986979,0.07504149619184843,0.4419334295157414,
bm25,top40,in-dist,extrapolate,5,kaplan-huber,512000,0.2817246716585439,0.1728190104166667,0.07504149619184843,0.4419334295157414,
bm25,top40,in-dist,extrapolate,5,kaplan-smear,128000,0.12639281006109626,0.13546563784281415,0.14839203494145395,0.6562697497523985,
bm25,top40,in-dist,extrapolate,5,kaplan-smear,256000,0.2248167188814737,0.1047358194986979,0.14839203494145395,0.6562697497523985,
bm25,top40,in-dist,extrapolate,5,kaplan-smear,512000,0.3998847486989184,0.1728190104166667,0.14839203494145395,0.6562697497523985,
bm25,top40,in-dist,extrapolate,5,offset-huber,128000,0.5178140985737237,0.13546563784281415,18.91197547288898,3.7733696363091944,
bm25,top40,in-dist,extrapolate,5,offset-huber,256000,4.09178150028095,0.1047358194986979,18.91197547288898,3.7733696363091944,
bm25,top40,in-dist,extrapolate,5,offset-huber,512000,32.683520713938776,0.1728190104166667,18.91197547288898,3.7733696363091944,
bm25,top40,in-dist,extrapolate,5,sat-huber,128000,0.029517751574112405,0.13546563784281415,0.10678828606369722,1.3931116653951876,
bm25,top40,in-dist,extrapolate,5,sat-huber,256000,0.03411892153611179,0.1047358194986979,0.10678828606369722,1.3931116653951876,
bm25,top40,in-dist,extrapolate,5,sat-huber,512000,0.038656745831567974,0.1728190104166667,0.10678828606369722,1.3931116653951876,
bm25,top40,in-dist,extrapolate,6,loglin,256000,0.12803421917470453,0.1047358194986979,0.02236828509943359,0.1700215516879385,
bm25,top40,in-dist,extrapolate,6,loglin,512000,0.15142123181429445,0.1728190104166667,0.02236828509943359,0.1700215516879385,
bm25,top40,in-dist,extrapolate,6,kaplan-ols,256000,0.16689967918938667,0.1047358194986979,0.10099648255386273,0.5130826096714399,
bm25,top40,in-dist,extrapolate,6,kaplan-ols,512000,0.3014122976631702,0.1728190104166667,0.10099648255386273,0.5130826096714399,
bm25,top40,in-dist,extrapolate,6,kaplan-huber,256000,0.2470290235542519,0.1047358194986979,0.23950132545706246,0.9435604886900346,
bm25,top40,in-dist,extrapolate,6,kaplan-huber,512000,0.48018591473621763,0.1728190104166667,0.23950132545706246,0.9435604886900346,
bm25,top40,in-dist,extrapolate,6,kaplan-smear,256000,0.31798072121334386,0.1047358194986979,0.3491081211734868,1.195292831944485,
bm25,top40,in-dist,extrapolate,6,kaplan-smear,512000,0.6181049549863048,0.1728190104166667,0.3491081211734868,1.195292831944485,
bm25,top40,in-dist,extrapolate,6,offset-huber,256000,0.38533324569683225,0.1047358194986979,0.6156006820424075,1.5440283060229674,
bm25,top40,in-dist,extrapolate,6,offset-huber,512000,0.9969509682202317,0.1728190104166667,0.6156006820424075,1.5440283060229674,
bm25,top40,in-dist,extrapolate,6,sat-huber,256000,0.06620342033783833,0.1047358194986979,0.0737793105479775,0.6664973559311276,
bm25,top40,in-dist,extrapolate,6,sat-huber,512000,0.07585495756831473,0.1728190104166667,0.0737793105479775,0.6664973559311276,
bm25,top40,in-dist,extrapolate,7,loglin,512000,0.13810786057086244,0.1728190104166667,0.03471114984580426,0.22420988609632975,
bm25,top40,in-dist,extrapolate,7,kaplan-ols,512000,0.21901304813257977,0.1728190104166667,0.04619403771591307,0.23688644425151506,
bm25,top40,in-dist,extrapolate,7,kaplan-huber,512000,0.2472924522637373,0.1728190104166667,0.07447344184707061,0.358326789190232,
bm25,top40,in-dist,extrapolate,7,kaplan-smear,512000,0.32898512787915135,0.1728190104166667,0.15616611746248465,0.6437676814247018,
bm25,top40,in-dist,extrapolate,7,offset-huber,512000,0.2635652724641327,0.1728190104166667,0.090746262047466,0.42205618633770103,
bm25,top40,in-dist,extrapolate,7,sat-huber,512000,0.0967179862150529,0.1728190104166667,0.0761010242016138,0.5804454789851701,
ekfac,top1%,held-out,full-row,7,loglin,,,,0.009352029994580987,0.6236390459068102,a=-0.1707 b_per_doubling=0.01441
ekfac,top1%,held-out,full-row,7,kaplan-ols,,,,0.005237655693232164,0.189186727707668,A_at_1e4=0.01716 alpha=0.5531
ekfac,top1%,held-out,full-row,7,kaplan-huber,,,,0.005701834965729842,0.19329174665925833,A_at_1e4=0.0173 alpha=0.535
ekfac,top1%,held-out,full-row,7,kaplan-smear,,,,0.005168004931062584,0.18078846220650213,A_at_1e4=0.0173 alpha=0.535 smearing=1.09
ekfac,top1%,held-out,full-row,7,offset-huber,,,,0.005701796265428959,0.19329008758268204,delta0=1.611e-09 A_at_1e4=0.0173 alpha=0.535
ekfac,top1%,held-out,full-row,7,sat-huber,,,,0.013153587719901206,0.193895385585202,delta_inf=0.8185 A_at_1e4=0.797 alpha=0.02 alpha_at_floor=1
ekfac,top1%,held-out,extrapolate,3,loglin,32000,0.039933507977199675,0.039427610238999475,0.017521018138000083,0.23179247023344487,
ekfac,top1%,held-out,extrapolate,3,loglin,64000,0.05037862592995833,0.041005853812293935,0.017521018138000083,0.23179247023344487,
ekfac,top1%,held-out,extrapolate,3,loglin,128000,0.06082374388271704,0.07524789571834845,0.017521018138000083,0.23179247023344487,
ekfac,top1%,held-out,extrapolate,3,loglin,256000,0.07126886183547569,0.10179398854282909,0.017521018138000083,0.23179247023344487,
ekfac,top1%,held-out,extrapolate,3,kaplan-ols,32000,0.05387737836400805,0.039427610238999475,0.13853691810770946,0.8994292312901895,
ekfac,top1%,held-out,extrapolate,3,kaplan-ols,64000,0.100332027217558,0.041005853812293935,0.13853691810770946,0.8994292312901895,
