key,model,queries,logit_scale,query,loss
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,0,5.434486389160156
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,1,5.437575817108154
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,2,5.257956504821777
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,3,4.951030254364014
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,4,4.748781204223633
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,5,5.239078521728516
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,6,5.157297134399414
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,7,5.122876167297363
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,8,5.045318603515625
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,9,5.180710792541504
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,10,5.385497570037842
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,11,5.052114009857178
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,12,5.074969291687012
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,13,5.4293012619018555
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,14,5.168267726898193
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,15,5.0798821449279785
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,16,5.411123752593994
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,17,5.472004413604736
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,18,4.663222312927246
gpt2@0.5/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.5,19,4.223213195800781
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,0,3.100407600402832
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,1,2.667710304260254
