log,phase,seconds,iters,passes
_logs/bm25_plan_adam_eps1e17_64k_bs256_q10_12.log,filter-proponents,4452,2,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q12_14.log,Training,2200,500,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q12_14.log,filter-proponents,4400,2,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q14_16.log,Training,2210,500,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q14_16.log,filter-proponents,4424,2,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q16_18.log,Training,2195,500,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q16_18.log,filter-proponents,4389,2,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q18_20.log,Training,2222,500,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q18_20.log,filter-proponents,4444,2,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q2_4.log,Training,2200,500,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q2_4.log,filter-proponents,4401,2,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q4_6.log,Training,2217,500,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q4_6.log,filter-proponents,4436,2,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q6_8.log,Training,2218,500,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q6_8.log,filter-proponents,4439,2,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q8_10.log,Training,2202,500,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q8_10.log,filter-proponents,4406,2,1
_logs/bm25_plan_adam_eps1e17_8k_bs256_q0_2.log,Training,290,63,1
_logs/bm25_plan_adam_eps1e17_8k_bs256_q10_12.log,Training,287,63,1
_logs/bm25_plan_adam_eps1e17_8k_bs256_q12_14.log,Training,289,63,1
_logs/bm25_plan_adam_eps1e17_8k_bs256_q14_16.log,Training,291,63,1
_logs/bm25_plan_adam_eps1e17_8k_bs256_q16_18.log,Training,289,63,1
_logs/bm25_plan_adam_eps1e17_8k_bs256_q18_20.log,Training,291,63,1
