run,subset,query,nproc,gpu_a,node_a,python_a,query_loss_diff_a,gpu_b,node_b,python_b,query_loss_diff_b,delta,abs_delta
plan_adam_eps1e17_16k_wd0.0,2,12,2,A40,allium-0,3.11.15,-0.0009729862213134766,A100-SXM4-80GB,lotus-0,3.11.15,-0.0011606216430664062,0.0001876354217529297,0.0001876354217529297
plan_adam_eps1e17_16k_wd0.0,2,13,2,A40,allium-0,3.11.15,-0.0005564689636230469,A100-SXM4-80GB,lotus-0,3.11.15,0.0027539730072021484,-0.0033104419708251953,0.0033104419708251953
plan_adam_eps1e17_16k_wd0.0,2,14,2,A40,allium-0,3.11.15,-0.0008251667022705078,A100-SXM4-80GB,lotus-0,3.11.15,-0.0032575130462646484,0.0024323463439941406,0.0024323463439941406
plan_adam_eps1e17_16k_wd0.0,2,15,2,A40,allium-0,3.11.15,-0.0002028942108154297,A100-SXM4-80GB,lotus-0,3.11.15,-0.00021123886108398438,8.344650268554688e-06,8.344650268554688e-06
plan_adam_eps1e17_16k_wd0.0,2,16,2,A40,allium-0,3.11.15,-0.0006935596466064453,A100-SXM4-80GB,lotus-0,3.11.15,-0.001344442367553711,0.0006508827209472656,0.0006508827209472656
plan_adam_eps1e17_16k_wd0.0,2,17,2,A40,allium-0,3.11.15,-0.00247955322265625,A100-SXM4-80GB,lotus-0,3.11.15,-0.0014510154724121094,-0.0010285377502441406,0.0010285377502441406
plan_adam_eps1e17_16k_wd0.0,2,18,2,A40,allium-0,3.11.15,-0.00019979476928710938,A100-SXM4-80GB,lotus-0,3.11.15,0.0001437664031982422,-0.00034356117248535156,0.00034356117248535156
plan_adam_eps1e17_16k_wd0.0,2,19,2,A40,allium-0,3.11.15,0.0013427734375,A100-SXM4-80GB,lotus-0,3.11.15,0.0021088123321533203,-0.0007660388946533203,0.0007660388946533203
plan_adam_eps1e17_16k_wd0.0,3,0,2,A40,allium-0,3.11.15,0.0012857913970947266,A100-SXM4-80GB,lotus-0,3.11.15,0.001634359359741211,-0.0003485679626464844,0.0003485679626464844
plan_adam_eps1e17_16k_wd0.0,3,1,2,A40,allium-0,3.11.15,-0.0009369850158691406,A100-SXM4-80GB,lotus-0,3.11.15,-0.0005407333374023438,-0.0003962516784667969,0.0003962516784667969
plan_adam_eps1e17_16k_wd0.0,3,2,2,A40,allium-0,3.11.15,-0.002062082290649414,A100-SXM4-80GB,lotus-0,3.11.15,-0.0024445056915283203,0.00038242340087890625,0.00038242340087890625
plan_adam_eps1e17_16k_wd0.0,3,3,2,A40,allium-0,3.11.15,-0.0011444091796875,A100-SXM4-80GB,lotus-0,3.11.15,-0.00011134147644042969,-0.0010330677032470703,0.0010330677032470703
plan_adam_eps1e17_16k_wd0.0,3,4,2,A40,allium-0,3.11.15,-0.0006330013275146484,A100-SXM4-80GB,lotus-0,3.11.15,-0.0004246234893798828,-0.00020837783813476562,0.00020837783813476562
plan_adam_eps1e17_16k_wd0.0,3,5,2,A40,allium-0,3.11.15,-0.0005216598510742188,A100-SXM4-80GB,lotus-0,3.11.15,-0.0002751350402832031,-0.0002465248107910156,0.0002465248107910156
plan_adam_eps1e17_16k_wd0.0,3,6,2,A40,allium-0,3.11.15,-0.00016689300537109375,A100-SXM4-80GB,lotus-0,3.11.15,0.0023581981658935547,-0.0025250911712646484,0.0025250911712646484
plan_adam_eps1e17_16k_wd0.0,3,7,2,A40,allium-0,3.11.15,-0.0010907649993896484,A100-SXM4-80GB,lotus-0,3.11.15,-0.0002894401550292969,-0.0008013248443603516,0.0008013248443603516
plan_adam_eps1e17_16k_wd0.0,3,8,2,A40,allium-0,3.11.15,-0.0003917217254638672,A100-SXM4-80GB,lotus-0,3.11.15,0.0003211498260498047,-0.0007128715515136719,0.0007128715515136719
plan_adam_eps1e17_16k_wd0.0,3,9,2,A40,allium-0,3.11.15,-0.0002460479736328125,A100-SXM4-80GB,lotus-0,3.11.15,0.0002689361572265625,-0.000514984130859375,0.000514984130859375
plan_adam_eps1e17_16k_wd0.0,3,10,2,A40,allium-0,3.11.15,0.00023317337036132812,A100-SXM4-80GB,lotus-0,3.11.15,-0.0002079010009765625,0.0004410743713378906,0.0004410743713378906
plan_adam_eps1e17_16k_wd0.0,3,11,2,A40,allium-0,3.11.15,0.00010061264038085938,A100-SXM4-80GB,lotus-0,3.11.15,-0.002386808395385742,0.0024874210357666016,0.0024874210357666016
plan_adam_eps1e17_16k_wd0.0,3,12,2,A40,allium-0,3.11.15,0.000396728515625,A100-SXM4-80GB,lotus-0,3.11.15,6.246566772460938e-05,0.0003342628479003906,0.0003342628479003906
plan_adam_eps1e17_16k_wd0.0,3,13,2,A40,allium-0,3.11.15,-0.0004961490631103516,A100-SXM4-80GB,lotus-0,3.11.15,0.002735137939453125,-0.0032312870025634766,0.0032312870025634766
plan_adam_eps1e17_16k_wd0.0,3,14,2,A40,allium-0,3.11.15,-0.0015807151794433594,A100-SXM4-80GB,lotus-0,3.11.15,-0.003912210464477539,0.0023314952850341797,0.0023314952850341797
plan_adam_eps1e17_16k_wd0.0,3,15,2,A40,allium-0,3.11.15,-0.0008533000946044922,A100-SXM4-80GB,lotus-0,3.11.15,-0.0010540485382080078,0.00020074844360351562,0.00020074844360351562
plan_adam_eps1e17_16k_wd0.0,3,16,2,A40,allium-0,3.11.15,-0.0006651878356933594,A100-SXM4-80GB,lotus-0,3.11.15,-0.0012249946594238281,0.0005598068237304688,0.0005598068237304688
plan_adam_eps1e17_16k_wd0.0,3,17,2,A40,allium-0,3.11.15,0.0018978118896484375,A100-SXM4-80GB,lotus-0,3.11.15,0.002951383590698242,-0.0010535717010498047,0.0010535717010498047
plan_adam_eps1e17_16k_wd0.0,3,18,2,A40,allium-0,3.11.15,-0.0005123615264892578,A100-SXM4-80GB,lotus-0,3.11.15,-0.0004298686981201172,-8.249282836914062e-05,8.249282836914062e-05
plan_adam_eps1e17_16k_wd0.0,3,19,2,A40,allium-0,3.11.15,0.0009450912475585938,A100-SXM4-80GB,lotus-0,3.11.15,0.0015940666198730469,-0.0006489753723144531,0.0006489753723144531
plan_adam_eps1e17_16k_wd0.1,0,0,2,A40,iris-0,3.11.15,0.0006353855133056641,A100-SXM4-80GB,lotus-0,3.11.15,0.001007080078125,-0.00037169456481933594,0.00037169456481933594
plan_adam_eps1e17_16k_wd0.1,0,1,2,A40,iris-0,3.11.15,0.0013222694396972656,A100-SXM4-80GB,lotus-0,3.11.15,0.0018074512481689453,-0.0004851818084716797,0.0004851818084716797
plan_adam_eps1e17_16k_wd0.1,0,2,2,A40,iris-0,3.11.15,0.0006005764007568359,A100-SXM4-80GB,lotus-0,3.11.15,-9.250640869140625e-05,0.0006930828094482422,0.0006930828094482422
plan_adam_eps1e17_16k_wd0.1,0,3,2,A40,iris-0,3.11.15,-0.0008676052093505859,A100-SXM4-80GB,lotus-0,3.11.15,0.0003230571746826172,-0.0011906623840332031,0.0011906623840332031
plan_adam_eps1e17_16k_wd0.1,0,4,2,A40,iris-0,3.11.15,0.0013113021850585938,A100-SXM4-80GB,lotus-0,3.11.15,0.001619100570678711,-0.0003077983856201172,0.0003077983856201172
plan_adam_eps1e17_16k_wd0.1,0,5,2,A40,iris-0,3.11.15,-0.0011713504791259766,A100-SXM4-80GB,lotus-0,3.11.15,-0.0009202957153320312,-0.0002510547637939453,0.0002510547637939453
plan_adam_eps1e17_16k_wd0.1,0,6,2,A40,iris-0,3.11.15,0.0006175041198730469,A100-SXM4-80GB,lotus-0,3.11.15,0.0032591819763183594,-0.0026416778564453125,0.0026416778564453125
plan_adam_eps1e17_16k_wd0.1,0,7,2,A40,iris-0,3.11.15,-0.000247955322265625,A100-SXM4-80GB,lotus-0,3.11.15,0.00045228004455566406,-0.0007002353668212891,0.0007002353668212891
plan_adam_eps1e17_16k_wd0.1,0,8,2,A40,iris-0,3.11.15,-0.00041937828063964844,A100-SXM4-80GB,lotus-0,3.11.15,0.0004076957702636719,-0.0008270740509033203,0.0008270740509033203
plan_adam_eps1e17_16k_wd0.1,0,9,2,A40,iris-0,3.11.15,-0.0005223751068115234,A100-SXM4-80GB,lotus-0,3.11.15,0.00012612342834472656,-0.00064849853515625,0.00064849853515625
plan_adam_eps1e17_16k_wd0.1,0,10,2,A40,iris-0,3.11.15,0.0006737709045410156,A100-SXM4-80GB,lotus-0,3.11.15,0.00033545494079589844,0.0003383159637451172,0.0003383159637451172
