n,rule,method,qset,query,qld,ctrl_sd,ctrl_n
8000,top1%,ekfac,in-dist,0,0.018632953171618283,0.0010507191764190793,100
8000,top1%,ekfac,in-dist,1,0.020586729049682617,0.0009087931248359382,100
8000,top1%,ekfac,in-dist,2,0.023299834727367852,0.0012616378953680396,100
8000,top1%,ekfac,in-dist,3,0.01720703364117071,0.0009564157808199525,100
8000,top1%,ekfac,in-dist,4,0.01950437546474859,0.0012178138131275773,100
8000,top1%,ekfac,in-dist,5,0.027315173123497516,0.0012405639281496406,100
8000,top1%,ekfac,in-dist,6,0.02603541135613341,0.0010090895229950547,100
8000,top1%,ekfac,in-dist,7,0.028660793308517896,0.0012773014605045319,100
8000,top1%,ekfac,in-dist,8,0.013806586270220578,0.0011609221110120416,100
8000,top1%,ekfac,in-dist,9,0.024101610179059207,0.0010099677601829171,100
8000,top1%,ekfac,in-dist,10,0.023969197274709586,0.001125147333368659,100
8000,top1%,ekfac,in-dist,11,0.0400756144663319,0.0014171786606311798,100
8000,top1%,ekfac,in-dist,12,0.0198074865329545,0.0009121934999711812,100
8000,top1%,ekfac,in-dist,13,0.00846669910242781,0.0015212306752800941,100
8000,top1%,ekfac,in-dist,14,0.015227804178721271,0.0009720248053781688,100
8000,top1%,ekfac,in-dist,15,0.014587087629479356,0.0018284773686900735,100
8000,top1%,ekfac,in-dist,16,0.015252649784088135,0.0010036565363407135,100
8000,top1%,ekfac,in-dist,17,0.17504986526910216,0.0019653402268886566,100
8000,top1%,ekfac,in-dist,18,0.017369039058394264,0.0014579533599317074,100
8000,top1%,ekfac,in-dist,19,0.031863188749412075,0.002125254599377513,100
8000,top1%,ekfac,held-out,0,0.015979528427124023,0.002297373255714774,3
8000,top1%,ekfac,held-out,1,0.015364726379630156,5.428426811704412e-05,3
8000,top1%,ekfac,held-out,2,0.01505335172987543,0.0004621206608135253,3
8000,top1%,ekfac,held-out,3,0.02562967935227789,0.0011848727008327842,3
8000,top1%,ekfac,held-out,4,0.0200087229404744,0.0011559998383745551,3
8000,top1%,ekfac,held-out,5,0.017760833114152774,0.0006817779503762722,3
8000,top1%,ekfac,held-out,6,0.014742692314030137,0.0007962420932017267,3
8000,top1%,ekfac,held-out,7,0.011572440474992618,0.0007275360403582454,3
8000,top1%,ekfac,held-out,8,0.011674006782413926,0.0008215284906327724,3
8000,top1%,ekfac,held-out,9,0.019540468842023984,0.00018149986863136292,3
8000,top1%,ekfac,held-out,10,0.018745581309303816,0.0003815304080490023,3
8000,top1%,ekfac,held-out,11,0.01564033826070954,0.0012506941566243768,3
8000,top1%,ekfac,held-out,12,0.03836536407470703,0.0003002076118718833,3
8000,top1%,ekfac,held-out,13,0.013208786665927619,0.0006908210925757885,3
8000,top1%,ekfac,held-out,14,0.022060155868530273,0.0004287410411052406,3
